标志,ID,人物,位置,内容,跳转,效果,目标,
#,0,约翰,左,早上好二位。,1,,,
#,1,你,右,早！,2,,,
#,2,,,奶牛猫摇了摇尾巴，没说话,3,,,
#,3,约翰,左,这两天我在镇子里转了转，,4,,,
#,4,约翰,左,这里还真是平和，,5,,,
#,5,约翰,左,不像我以前去过的那些地方一样，,6,,,
#,6,约翰,左,打打杀杀。,7,,,
#,7,你,右,哈！你不是雇佣兵嘛？,8,,,
#,8,你,右,应该喜欢打打杀杀的感觉呀，,9,,,
#,9,你,右,这样你不就能挣到更多的钱嘛？,10,,,
#,10,约翰,左,并不是所有人都喜欢过这种日子，,11,,,
#,11,约翰,左,我也只是为了讨生活，,12,,,
#,12,约翰,左,谁不是为了生活在做一些妥协呢。,13,,,
#,13,你,右,你可真现实……,14,,,
#,14,你,右,这么看来还是我这儿好，,15,,,
#,15,你,右,无忧无虑的，,16,,,
#,16,你,右,每天就是做做自己喜欢的事儿。,17,,,
#,17,你,右,哦对，你的药，已经好了~,18,,,
#,18,你,右,我去给你拿出来。,19,,,
#,19,约翰,左,好的，我也是觉得时间差不多了。,20,,,
#,20,约翰,左,这是30枚银币。,21,,,
#,21,,,约翰把银币袋子放到奶牛猫面前，,22,,,
#,22,,,但是她并没有做出什么反应，还是懒懒地摇着尾巴。,23,,,
#,23,约翰,左,这……猫阁下今天怎么了？,24,,,
#,24,约翰,左,看着好像没什么精神。,25,,,
#,25,你,右,哎呀别理她，她偶尔就这样，给我就行！,26,,,
#,26,你,右,你尝尝这药。,27,,,
#,27,约翰,左,好。,28,,,
#,28,,,跟前两次一样的光景，约翰喝下了药,29,,,
#,29,约翰,左,嗯……嗯……,30,,,
#,30,约翰,左,……？,31,,,
#,31,你,右,哼哼哼，这回你想说什么？,32,,,
#,32,约翰,左,我感觉我充满了力量。,33,,,
#,33,,,约翰伸出左臂握拳，吸了一口气，,34,,,
#,34,,,“呼”！,35,,,
#,35,,,你听见一声刺耳地炸裂声，吓得叫了出来，,36,,,
#,36,,,但是面前的约翰，除了斗篷有些许摇晃，整个人像雕塑一般沉稳。,37,,,
#,37,约翰,左,我的速度和力量都提升了一个级别，,38,,,
#,38,约翰,左,现在我的拳速甚至可以突破音速。,39,,,
#,39,你,右,可你还有不满意的地方是吧？,40,,,
#,40,你,右,嗯？哼。,41,,,
#,41,约翰,左,啊……这个……,42,,,
#,42,约翰,左,也没什么……就是听不到外面树叶摆动的声音了。,43,,,
#,43,你,右,就这也……哎？等会儿？,44,,,
#,44,你,右,你能听见外面树叶的声音？,45,,,
#,45,你,右,你的听力很好吗？,46,,,
#,46,约翰,左,嗯是的，不过现在这样也没什么问题，,47,,,
#,47,约翰,左,我现在提升的力量足以弥补这个缺陷。,48,,,
#,48,约翰,左,真的非常感谢。,49,,,
#,49,约翰,左,即使是现在海克斯出现了，,50,,,
#,50,约翰,左,我也可以……,51,,,
#,51,,,“碰”！,52,,,
#,52,,,你感觉有什么东西在面前迸发开来，将你和约翰狠狠地弹了出去，你撞到了墙壁上，晕了过去……,53,,,这里结束后有一段黑屏
#,53,你,右,唔……怎么回事……哎呀呀好痛！到底发生什么……呀！！！,54,,,
#,54,,,你睁开眼，发现自己正躺在满是玻璃渣的地面上，,55,,,
#,55,,,好在身下铺着张毯子，,56,,,
#,56,,,但是还没等你反应过来发生了什么事情，,57,,,
#,57,,,就看到了身旁的椅子上，坐着身披巨大厚重斗篷的约翰，,58,,,
#,58,,,他已摘下了头上的头上的兜帽，,59,,,
#,59,,,兜帽下的赫然是……,60,,,
#,60,你,右,狼人！你是狼人！！,61,,,
#,61,,,约翰并没有做出任何回应，,62,,,
#,62,,,保持着空洞的眼神盯着远方，,63,,,
#,63,,,你仔细打量了一下他，发现身上有很多伤口和血迹，,64,,,
#,64,,,但是很明显伤口都在慢慢愈合。,65,,,
#,65,,,你努力让自己保持镇定，双眼死死盯着约翰，,66,,,
#,66,,,但是身上的疼痛感让自己无法用心思考。,67,,,
#,67,你,右,刚刚，到底发生了什么事？,68,,,
#,68,约翰,左,……,69,,,
#,69,约翰,左,……,70,,,
#,70,约翰,左,……,71,,,
#,71,你,右,你怎么不说话？到底怎么了啊？,72,,,
#,72,奶牛猫,右,是海克斯吧。,73,,,
#,73,奶牛猫,右,所以她对你的诅咒是让你变成一头不会恢复成人的狼人？,74,,,
#,74,,,奶牛猫不知道从哪里冒了出来，冷不丁地来了这么一句，,75,,,
#,75,,,约翰听了明显全身一震，然后缓缓点点头。,76,,,
#,76,约翰,左,……对，你猜的没错。,77,,,
#,77,你,右,啊！那，那，到底发生了什么事？,78,,,
#,78,奶牛猫,右,我哪里知道，我正睡觉呢，突然一阵风压就把我吹散了，,79,,,
#,79,奶牛猫,右,我只是个幽灵哎，好不容易才凝回来，,80,,,
#,80,,,就看见他一身伤把你扛了进屋。,81,,,
#,81,你,右,怎么这样……那……狼……约、约翰先生？,82,,,
#,82,你,右,刚刚……是怎么了？,83,,,
#,83,,,只见约翰伸出了另一只毛茸茸的大手捂住了脑袋，,84,,,
#,84,,,看上去非常痛苦，半晌，才缓缓开口。,85,,,
#,85,约翰,左,是海克斯，她一直在偷听我们说话，,86,,,
#,86,约翰,左,趁我们谈话的空档化成一道风潜进来，,87,,,
#,87,约翰,左,偷袭了我们，把这里弄成了这个样子，,88,,,
#,88,约翰,左,然后把你掳走，想让你彻底做不成女巫，,89,,,
#,89,约翰,左,为的是不让你再帮我变得强大。,90,,,
#,90,你,右,啊！这也太可怕了！,91,,,
#,91,你,右,啊好可怕好可怕……,92,,,
#,92,,,你一把揽过奶牛猫抓在了怀里，警戒着周围，,93,,,
#,93,,,好像那个从未谋面的海克斯会再次窜出来一样。,94,,,
#,94,约翰,左,她，已经死了，不用担心……,95,,,
#,95,约翰,左,我，亲自放火烧了她，,96,,,
#,96,约翰,左,听着她的惨叫贯彻森林，,97,,,
#,97,约翰,左,直到一切都化为了灰烬。,98,,,
#,98,你,右,这样啊……那还好……,99,,,
#,99,你,右,哎，不过，你好像没有恢复成人啊，,100,,,
#,100,你,右,还是……毛茸茸的。,101,,,
#,101,约翰,左,对，我没有任何变回人类的迹象，,102,,,
#,102,约翰,左,这些该死的伤口还在愈合，,103,,,
#,103,约翰,左,我依然是个手上沾满鲜血的狼人。,104,,,
#,104,约翰,左,……,105,,,
#,105,约翰,左,那个诅咒还在。,106,,,
#,106,奶牛猫,右,你早点坦诚告诉我们你的诅咒是什么，问题早解决了。,107,,,
#,107,约翰,左,嗯？,108,,,
#,108,奶牛猫,右,变成狼人的诅咒是吧，,109,,,
#,109,奶牛猫,右,我有个能破除各种顽固诅咒的药剂配方，,110,,,
#,110,奶牛猫,右,“诅咒破除药剂”，,111,,,
#,111,奶牛猫,右,只不过伴随着巨大的副作用，,112,,,
#,112,奶牛猫,右,所以一直没拿出来用过。,113,,,
#,113,约翰,左,什么副作用？！,114,,,
#,114,奶牛猫,右,失去嗅觉。,115,,,
#,115,约翰,左,…………,116,,,
#,116,你,右,…………,117,,,
#,117,奶牛猫,右,…………怎么啦？,118,,,
#,118,你,右,有这种东西为什么不早点拿出来啊！,119,,,
#,119,你,右,而且这算什么副作用啊！,120,,,
#,120,你,右,这么厉害的东西怎么会有这么好笑的副作用！,121,,,
#,121,奶牛猫,右,嗅觉很重要的好不好！,122,,,
#,122,奶牛猫,右,色香味，色香味，,123,,,
#,123,奶牛猫,右,吃饭前先是闻到香，才会想尝味道好吧！,124,,,
#,124,约翰,左,我用！我要用！请告诉我！,125,,,
#,125,约翰,左,我需要拿什么交换！,126,,,
#,126,奶牛猫,右,这个嘛……,127,,,
#,127,奶牛猫,右,留下你的机械臂怎么样？,128,,,
#,128,约翰,左,没问题！,129,,,
#,129,你,右,你们就不问问我的意见？,130,,,
#,130,约翰,左,额……你开条件，我一定想办法满足。,131,,,
#,131,你,右,你很有钱吧！帮我把这堆坏了的东西全换了！,132,,,这句后面插入炼药玩法
#,132,你,右,终于完成啦！,133,,,
#,133,你,右,你的这个配方看上去好像没什么难度，,134,,,
#,134,你,右,怎么做起来这么费劲啊！,135,,,
#,135,你,右,还好你来帮忙了。,136,,,
#,136,奶牛猫,右,都说了副作用太大，费时又费力。,137,,,
#,137,你,右,好了好了，给你，快来试试吧！,138,,,
#,138,,,约翰几乎是抢过了药剂瓶子，,139,,,
#,139,,,正准备喝，又想了想，然后颤抖地问：,140,,,
#,140,约翰,左,这，这真的能让我还原成人形吗？,141,,,
#,141,奶牛猫,右,如假包换。,142,,,
#,142,你,右,记得待会儿给我换家具。,143,,,
#,143,,,约翰好像如释重负，定了定心，将药剂一饮而尽。,144,,,从此位置往下到结束，约翰无立绘
#,144,,,效果非常明显，,145,,,
#,145,,,他的瞳孔开始收缩，毛发逐渐脱落，,146,,,
#,146,,,皮肤的颜色也开始从深邃的蓝色慢慢变回人类的肤色；,147,,,
#,147,,,耳朵、前吻、牙齿还有四肢，都在逐渐缩短，,148,,,
#,148,,,变成人类的样子；,149,,,
#,149,,,身上紧绷的肌肉也慢慢松弛下来，,150,,,
#,150,,,显得那么轻盈；,151,,,
#,151,,,最显眼的是他的左臂，,152,,,
#,152,,,机械臂脱落，,153,,,
#,153,,,原本断臂肉体与机械臂相连的部分，竟然慢慢长出一只手来。,154,,,
#,154,,,也许是新成长的肉体，,155,,,
#,155,,,这只左手显得非常白皙。,156,,,
#,156,约翰,左,啊……啊……这个感觉……这个感觉……,157,,,
#,157,约翰,左,我终于变回来了……,158,,,
#,158,,,一声长啸，约翰泪如涌泉。,159,,,这里结束后有一段黑屏
#,159,,,许久以后,160,,,黑屏时的文字
#,160,约翰,左,抱歉，刚刚，失礼了。,161,,,
#,161,你,右,没关系，没关系，看起来挺顺利的。,162,,,
#,162,你,右,你有什么不舒服的吗？,163,,,
#,163,约翰,左,真要说的话，和这位猫阁下之前说的一样，,164,,,
#,164,约翰,左,我闻不到东西了，不过，,165,,,
#,165,约翰,左,和我变回来了这件事相比，,166,,,
#,166,约翰,左,不值一提，,167,,,
#,167,约翰,左,我要向你们表示由衷的感谢。,168,,,
#,168,,,说罢，约翰深鞠一躬，久久没有直起身。,169,,,
#,169,奶牛猫,右,好啦好啦，也没事，比起这个，,170,,,
#,170,奶牛猫,右,赶紧帮我们这位天才换一下家具啥的，,171,,,
#,171,奶牛猫,右,这个机械臂我们就先收下啦。,172,,,
#,172,约翰,左,当然，当然，我现在已经不需要它了。,173,,,
#,173,约翰,左,……,174,,,
#,174,约翰,左,……,175,,,
#,175,约翰,左,不过，能不能让我先照照镜子，,176,,,
#,176,约翰,左,我想看看我的脸。,177,,,
#,177,你,右,这哪里还有镜子呀，之前海克斯在这里闹过，,178,,,
#,178,你,右,所有玻璃的东西都碎了，,179,,,
#,179,你,右,你去镇上转转好啦，顺便帮我把玻璃什么都运回来，,180,,,
#,180,你,右,我还要继续开店呢！,181,,,
#,181,约翰,左,好，好！,182,,,
#,182,,,约翰转身出了门，,183,,,
#,183,,,你捡起了那条由魔法驱动的机械臂，仔细端详了起来。,184,,,
#,184,你,右,你说，这么神奇的东西，到的是什么样的人锻造出来？,185,,,
#,185,奶牛猫,右,八成是个不合群的矮人吧，谁知道呢。我要回去睡觉了。,186,,,
#,186,你,右,哎哎，你快来帮我一起收拾嘛！,187,,,
END,187,,,,,,,
