标志,ID,人物,位置,内容,跳转,效果,目标
#,0,,,一个全身被斗篷覆盖的人推开门缓缓走进店里，,1,,
#,1,,,宽大的斗篷遮住了全身，你看不清任何斗篷下的东西。,2,,
#,2,,,他的周身若有若无的血腥味让你不由得打了个寒颤，,3,,
#,3,,,你断定这是个危险的人，,4,,
#,4,,,先前与奶牛猫拌嘴欢快的气氛一下子凝固了下来。,5,,
#,5,,,斗篷人缓缓走到你面前，它的脚步很轻，你几乎听不到任何声音,6,,
#,6,？？？,左,在向你定制药剂之前，我有个问题想问问……,7,,
#,7,,,是一个男性低沉的声音,8,,
#,8,你,右,你……你说……,9,,
#,9,？？？,左,你知道一名叫海克斯的巫婆么，我想她应该是，埃克提克派的。,10,,
#,10,你,右,不、不认识，事实上，我忘记了很多事情，所以并不是很清楚……,11,,
#,11,,,你攥紧了手边的法杖,12,,
#,12,？？？,左,是这样么……嗯，,13,,
#,13,？？？,左,那抱歉，让你受惊了。,14,,
#,14,,,他的语气没有了刚刚进屋时的低沉压迫，而是转为了相对平静，这让你缓和了一些,15,,
#,15,？？？,左,我来这儿想买几瓶恢复药剂，,16,,
#,16,？？？,左,这个森林的一切都让我觉得很不舒服。,17,,
#,17,？？？,左,我不知道我哪里出问题了，又或者，,18,,
#,18,？？？,左,这儿本身就有问题。,19,,
#,19,你,右,我不知道你在说什么，但如果你不舒服的话，我看看笔记本……,20,,
#,20,你,右,推荐你试试“清新药剂”，,21,,
#,21,你,右,它不仅可以清理体内大多数毒素，,22,,
#,22,你,右,也可以破除一些瘴气的影响，当然也可以，,23,,
#,23,你,右,呃，,24,,
#,24,你,右,清除身体周围的异味。,25,,
#,25,？？？,左,这效果听上去不错。那么我应该为你提供点什么呢？,26,,
#,26,你,右,我想想看哈……10枚……啊不，,27,,
#,27,你,右,我正需要几株新鲜的药草，,28,,
#,28,你,右,但是需要往森林深处走走，,29,,
#,29,你,右,如果你能帮我带来的话，这瓶药剂就送给你。,30,,
#,30,？？？,左,嗯……条件没问题，,31,,
#,31,？？？,左,可我怎么知道你的药剂效果到底怎么样呢？,32,,
#,32,你,右,你是第一次来这里吧，居然没有听说过我的名号，,33,,
#,33,你,右,嗯哼哼，没关系，我可以先给你一瓶“试用装”，,34,,
#,34,你,右,时效没那么长，但功能不打折！,35,,
#,35,,,你在架子上翻找了一下，拿出一小瓶药剂递给眼前这位斗篷男，他迟疑了一下，伸出了左手，那赫然是一条机械臂,36,,
#,36,你,右,一条真正的机械臂！,37,,
#,37,,,你吓了一跳，丢掉了手中的药剂，却在刚飞出去的一瞬间，被那条机械臂敏捷地抓住了,38,,
#,38,你,右,我在书上见过！书上说这个世界上有个地方，到处都由金属机械构成，,39,,
#,39,你,右,不用魔法就能划出火焰，不用骡马就能驶动大车，不用……,40,,
#,40,你,右,哦对不起先生，我有点太兴奋了……,41,,
